#threads,exec_time,speedup
1S,0.014434,1
1,0.014319,1.008031
2,0.012093,1.193583
3,0.015598,.925375
4,0.008890,1.623622
5,0.017023,.847911
#threads,exec_time,speedup
1S,0.016968,1
1,0.011775,1.441019
2,0.012634,1.343042
3,0.010600,1.600754
4,0.016854,1.006763
5,0.012522,1.355055
#threads,exec_time,speedup
1S,0.015654,1
1,0.014065,1.112975
2,0.012321,1.270513
3,0.015456,1.012810
4,0.010697,1.463400
5,0.011373,1.376417
#threads,exec_time,speedup
1S,0.015555,1
1,0.014561,1.068264
2,0.009417,1.651799
3,0.012540,1.240430
4,0.010965,1.418604
5,0.015470,1.005494
#threads,exec_time,speedup
1S,0.014374,1
1,0.013816,1.040387
2,0.012282,1.170330
3,0.011433,1.257237
4,0.012036,1.194250
5,0.015007,.957819
